123,A Novel Machine Annotated Balanced Bangla OCR Corpus,S12,Md Jamiur Rahman Rifat,"Rifat, Md Jamiur Rahman*; Banik, Mridul; Hasan, Nazmul; Nahar, Jebun; Rahman, Fuad"
124,Generative Adversarial Network for Heritage Image Super Resolution,S4,Rajashree Nayak,"Nayak, Rajashree*; Balabantaray, Bunil K"
128,Deep Learning Based Image Enhancement and Black Box Filter Parameter Estimation,S4,Rishabh Mittar,"Sharma, Mrigakshi; Mittar, Rishabh*; Chakraborty, Prasenjit"
129,Semantic segmentation of nuclei from breast histopathological images by incorporating attention in U-Net,S8,Keerthana Prasad,"R, Rashmi; Prasad, Keerthana*; Babu k Udupa, Chethana"
131,Deep Learning based Smart Parking Management System and Business Model,S3,Yatharth Kher,"Kher, Yatharth*"
132,Sign Gesture Recognition from Raw Skeleton Information in 3D Using Deep Learning,S2,Rajkumar Saini,"Rakesh, Sumit; Javed, Saleha; Saini, Rajkumar*; Liwicki, Marcus"
133,Dual Gradient Feature Pair Based Face Recognition for Aging and Pose Changes,S2,Betcy Thanga V Shoba,"Shoba, Betcy Thanga V*; Sam, Shatheesh"
135,Dynamic User Interface Composition,S5,Mohamed Akram Ulla Shariff,"Kumar, Rahul; Natarajan, Shankar; Shariff, Mohamed Akram Ulla*; Mani, Parameswaranath V"
137,Lightweight Photo-realistic Style Transfer for Mobile devices,S4,Mrinmoy Sen,"Sen, Mrinmoy*; Niswanth Babu, Mineni ; Mittar, Rishabh; Chakraborty, Prasenjit"
140,Automated diagnosis of COVID-19 from CT scans based on concatenation of Mobilenetv2 and ResNet50 features,S8,Dr. Taranjit Kaur,"Kaur, Dr. Taranjit*; Gandhi, Tapan Kumar"
142,Cricket Stroke Recognition using Hard and Soft Assignment based Bag of Visual Words,S5,Arpan Gupta,"Gupta, Arpan*; Karel, Ashish; Muthiah, Sakthi Balan"
143,Design and Implementation of Motion Envelope for a Moving Object using Kinect for Windows,S3,Jhansi V Setty,"Setty, Jhansi V*; Chatterjee, Subarna"
144,Software Auto Trigger for Super Slow Motion,S3,Rakshit Shukla,"Shukla, Rakshit*; Kumar SK, Pradeep; Jain, Ishu"
147,Multi-lingual Indian Text Detector for Mobile Devices,S7,Veronica Naosekpam,"Naosekpam, Veronica*; Kumar, Naukesh; Sahu, Nilkanta"
148,An Ensemble Method for Efficient Classification of Skin Lesion from Dermoscopy Image,S8,Habtu H Ashenek,"Ashenek, Habtu H*"
151,Facial Occlusion Detection and Reconstruction using GAN,S2,Diksha Khas,"Khas, Diksha*; Kumar, Sumit; Singh, Satish Kumar"
153,A Two-Phase Splitting Approach for the Removal of Gaussian-Impulse Noise from Hyperspectral Images,S11,HAZIQUE AETESAM,"AETESAM, HAZIQUE*; MAJI, SUMAN KUMAR; BOULANGER, JEROME"
154,Enhancement of Deep Learning in Image Classification Performance Using VGG16 with Swish Activation Function for Breast Cancer Detection,S8,Debendra Muduli,"Muduli, Debendra*; Dash, Ratnakar; Majhi, Banshidhar"
156,Multi-stream CNN For Face Anti-Spoofing Using Color Space Analysis,S1,Purva M Mhasakar,"Mhasakar, Purva M*; Mandal, Srimanta; Mitra, Suman"
157,Multi-focus fusion using image matting and geometric mean of DCT-Variance,S4,Manali Roy,"Roy, Manali*"
162,Deep learning based lens for mitigating hospital acquired infections,S8,Anant Shinde,"Gawali, Pratibha Sanjay; Latke, Ritika; Bartakke, DR. Prashant P.; Shinde, Anant *"
164,Using Class Activations to Investigate Semantic Segmentation,S10,Manas Satish Bedmutha,"Bedmutha, Manas Satish*; Raman, Shanmuganathan"
165,Ayurvedic Medicinal Plants Identification: A comparative study on feature extraction methods,S12,Ahila Priyadharshini,"Priyadharshini, Ahila*"
166,Edge detection on medical images using intuitionistic fuzzy logic,S4,Dr.W Wilfred Godfrey,"Tripathi, Nidhi; Kumrawat, Deepak ; Gottimukkala, Venkata Keerthi; S, Jeevaraj ; Godfrey, Dr.W Wilfred*"
167,Border to border distance based method fordetecting Juxta-pleural nodules,S8,Jenkin Suji,"Suji, Jenkin*; Godfrey, Dr.W Wilfred; DHAR, J"
170,Few Shots Learning: Caricature to Image Recognition using Modified Relation Network,S9,Upendra Pratap Singh,"Agrawal, Rashi; Singh, Upendra Pratap*; Singh, Krishna Pratap"
171,Domain Knowledge Embedding based Multimodal Intent Analysis in Artificial Intelligence Camera,S6,Mervin Lawrence Dalmet,"Dalmet, Mervin Lawrence*; Viswanadhuni, Dinesh; Kalose, Raghavendra"
172,Recognition of Adavus in Bharatanatyam Dance,S9,Himadri BGS Bhuyan,"Bhuyan, Himadri BGS*; Das, Partha Pratim"
179,Appearance-invariant Entry-Exit matching using visual soft biometric traits,S1,Vinay Kumar V,"V, Vinay Kumar*; Nagabhushan, Prof. P."
181,Digital Borders: Design of an Animal Intrusion Detection System based on Deep Learning,S3,Prashanth C Ravoor,"Ravoor, Prashanth C*; Sudarshan, Dr.T.S.B.; Rangarajan, Krishnan"
