"IAPR Best Paper Award",335, "On-Device Language Identification of Text in Images using Diacritic Characters","Shubham Vatsal, Nikhil Arora, Gopi Ramena, Sukumar Moharana, Dhruval Jain, Naresh Purre, Rachit S Munjal", Samsung R&D 
"IAPR Best Student Paper Award",234, "A Semi-Supervised Generative Adversarial Network for Retinal Analysis from Fundus Images", "Smitha A., Jidesh P.","Department of MACS, NIT - Karnataka(Surathkal)" 
